Nombre,Marca,Precio,Peso,Volumen,Año de Fabricación,Capacidad de Batería,Resolución,Tipo de Pantalla,Conectividad,Memoria RAM,Almacenamiento,Resistencia al Agua
teclado,Razer,7886206,32544.70839024593,1337.3638156302382,2019,,,,,,,
tablet,Amazon,9781786,2210.6423256800244,258.84328334569375,2012,5241.0,,OLED,,16GB,64GB,
nevera,Whirlpool,6069812,46334.554303333156,286931.24195922416,2009,,,,,,,
nevera,Whirlpool,3659815,1901.3801263048433,232974.19421024964,2008,,,,,,,
televisores,Samsung,9669191,29488.2775919105,121154.78172741624,2004,,,LCD,,,,
nevera,Whirlpool,1272615,16926.524733864648,284377.4168472515,2005,,,,,,,
televisores,TCL,5161296,12385.230778856738,171364.61597743962,2022,,8K,LED,,,,
laptop,Lenovo,124782,34366.59975722625,3218.1329145450345,2008,,,LED,Bluetooth,4GB,1TB,
monitor,Samsung,2491786,5601.327772862553,14683.291291144584,2004,,1080p,LED,,,,
smart watch,Fitbit,255501,34442.530734227774,107.16011362815408,2001,,,,,,,None
monitor,LG,274701,14614.601265744246,6107.820830142099,2023,,1080p,,,,,
televisores,LG,5270685,28185.109970070906,50803.0679373397,2003,,4K,LED,,,,
teclado,Logitech,6709247,38574.33436268773,665.7108543933616,2002,,,,,,,
laptop,Apple,7686693,9114.68129701941,2897.4907186303108,2016,6689.0,,,,16GB,128GB,
nevera,GE,5615259,8465.313555144474,162511.42008147348,2003,,,,,,,
lavadora,LG,9413461,11668.598588460127,118110.69282185241,2005,,,,,,,
mouse,Razer,895998,14087.910618243415,474.51293102282455,2008,,,,,,,
audifonos,Beats,3271887,41617.82927217797,250.4997974991862,2003,,,,Bluetooth,,,
televisores,LG,9755247,16899.192851231594,137628.16211856616,2018,,8K,LED,,,,
nevera,Samsung,9990670,39918.43088168455,290339.4463833729,2001,,,,,,,
mouse,HP,7723680,3362.54986338957,255.37799313378437,2011,,,,,,,
laptop,Lenovo,3292238,34144.28848606542,7943.354426460294,2023,,,LCD,5G,,,
nevera,Whirlpool,9889286,49262.06439698465,250611.0250659932,2003,,,,,,,
cargador,Apple,1313213,16538.92130657565,108.1517002576496,2007,,,,,,,
laptop,HP,8654447,7175.219537195536,5409.389613017624,2005,,,OLED,,16GB,512GB,
parlante,LG,3161287,31301.75049796933,1502.0525739127338,2014,,,,,,,
audifonos,Beats,7589762,34989.93421859865,242.9444415503491,2022,,,,5G,,,
audifonos,Beats,8021677,42953.145224840366,357.4192179426903,2022,,,,4G,,,
teclado,Razer,8965571,6262.975578353104,2165.0215734623625,2021,,,,,,,
teclado,Corsair,3801686,6315.404935078008,1979.4166311692798,2023,,,,,,,
cpu,Qualcomm,1345684,26236.042278285928,7353.485724473983,2009,,,,,,,
smart watch,Garmin,2000732,13337.782007777958,85.40227966610702,2014,5583.0,,LED,NFC,,,
nevera,GE,7078690,684.4083326544114,182838.0707496019,2017,,,,,,,
nevera,GE,8469390,17371.898234657474,206298.2718007077,2023,,,,,,,
lavadora,LG,5498772,30169.756996842545,118329.5623577169,2016,,,,,,,
smart watch,Apple,9348171,14100.073650052474,178.45836604132862,2015,,,LED,5G,,,IP68
camara,Panasonic,5783391,15721.381205427653,4142.306104160803,2001,,1080p,,,,,
mouse,Microsoft,2015452,41248.73379309918,446.6779003709408,2022,,,,,,,
teclado,Microsoft,3344559,24491.469056501563,2740.1133908559264,2022,,,,,,,
mouse,HP,7766894,40342.051993118526,480.5805120194282,2020,,,,,,,
tablet,Huawei,9508266,29429.327350132262,205.8956418447853,2023,,,OLED,NFC,32GB,128GB,
parlante,LG,685991,42658.75654727219,3607.078974883494,2015,,,,WiFi,,,
nevera,Whirlpool,6573874,77.6265240952882,205514.09333802154,2004,,,,,,,
smart watch,Garmin,8024877,9189.638327101058,134.71101838841432,2004,,,LCD,Bluetooth,,,None
televisores,Samsung,6177855,26752.454167718326,88054.45324189095,2001,,8K,OLED,,,,
tablet,Amazon,4177909,38157.74209794794,235.74692024772168,2009,9972.0,,LCD,4G,32GB,1TB,
nevera,Whirlpool,6707987,12829.086643686645,232038.52546465187,2018,,,,,,,
camara,Panasonic,5666269,49321.718104531334,2104.0233875094264,2018,,4K,,,,,
lavadora,Samsung,995437,6040.10571952293,144773.691327771,2018,,,,,,,
parlante,Sony,3615757,29185.03694580769,1337.3923383580664,2007,,,,,,,
audifonos,Beats,7478506,29551.49978069831,256.06238924929767,2008,,,,WiFi,,,
parlante,Sony,4359708,44554.529677763094,3859.5830936378297,2010,,,,,,,
secadora,LG,8984072,46464.32638738832,129012.46027557718,2009,,,,,,,
monitor,LG,2034047,41883.541789848525,14242.552470631363,2001,,8K,,,,,
celular,Apple,1488525,31683.678306802674,210.49456621878656,2002,,,,NFC,32GB,512GB,IP68
cpu,IBM,2569670,10105.359792357029,17704.224811987468,2007,,,,,,,
teclado,Razer,950388,14725.974069418251,753.1967055923174,2017,,,,,,,
camara,Nikon,6374424,48588.04551367921,3475.6684411629767,2017,,4K,,,,,
parlante,JBL,8747244,27349.370988648297,4624.845692530433,2023,,,,Bluetooth,,,
monitor,Dell,4457525,3128.6806926730724,5270.7529733656,2002,,4K,,,,,
camara,Panasonic,9419115,12654.593712220241,3849.1767048451256,2008,,8K,,,,,
camara,Canon,9955318,9428.179196402645,3979.2567632749856,2004,,4K,,,,,
teclado,Microsoft,4884908,35441.12809747414,2954.1276846503606,2018,,,,,,,
secadora,Whirlpool,2152119,6804.902149121087,134532.264276381,2019,,,,,,,
cpu,AMD,6746374,38822.186507825514,15330.520900250809,2007,,,,,,,
televisores,Sony,9562935,20238.859491821233,85827.50735782822,2007,,4K,OLED,,,,
secadora,LG,8117319,35354.27259947673,116453.64910422202,2011,,,,,,,
tablet,Amazon,5054342,35218.67719229566,481.3468652049326,2021,7361.0,,LED,WiFi,4GB,1TB,
parlante,Bose,6059018,43388.73512578158,2186.438178040817,2016,,,,Bluetooth,,,
laptop,HP,4504025,34987.658017997186,3417.1030262360396,2003,,,LCD,,4GB,,
televisores,Sony,6830433,6927.430702239957,63510.667171539055,2010,,8K,LCD,,,,
camara,Sony,818354,12723.786853286012,1865.4099275181927,2001,,8K,,,,,
cpu,Qualcomm,6277060,34930.21281932906,19160.241044150607,2017,,,,,,,
parlante,LG,9857633,38010.27073466767,4841.6981521357275,2002,,,,NFC,,,
celular,Xiaomi,6535003,39742.488033909,467.8332408816854,2005,8533.0,,,NFC,16GB,1TB,IP68
cpu,AMD,3839318,43862.23831715517,6568.53835673724,2019,,,,,,,
celular,Huawei,1729619,40256.69194659327,414.946496211209,2015,,,,5G,,512GB,IP67
camara,Panasonic,7185059,14019.354803674814,1961.4923258767628,2010,,8K,,,,,
monitor,HP,8909929,22580.14774395354,11277.563471140089,2013,,1080p,LCD,,,,
celular,Apple,213430,33309.528400896575,324.62206941431873,2020,7209.0,,,NFC,16GB,512GB,
laptop,Lenovo,8850452,6772.6898773983485,7232.2484584583135,2021,4708.0,,,,16GB,1TB,
secadora,Samsung,2634303,38124.036891318494,117306.61411072257,2006,,,,,,,
audifonos,Sennheiser,1736181,4428.8814339963765,467.34247549104396,2017,,,,5G,,,
parlante,JBL,2253778,41179.92721817661,4226.999023373233,2021,,,,NFC,,,
cpu,Intel,4239624,9491.814134803215,5663.454744758626,2007,,,,,,,
camara,Panasonic,9518618,19566.95403456705,3234.559762164087,2018,,1080p,,,,,
celular,Apple,5296775,41341.37679465091,281.8809710906428,2002,7543.0,,,WiFi,4GB,256GB,None
teclado,Corsair,6007105,20017.424267622817,2683.392124698148,2007,,,,,,,
audifonos,Sennheiser,4780706,25614.540949640872,410.5174328851704,2008,,,,NFC,,,
televisores,LG,9896282,6779.740263977831,72616.98275041085,2015,,1080p,OLED,,,,
lavadora,Whirlpool,4947292,8131.574819584985,129075.2474453139,2016,,,,,,,
monitor,Samsung,672355,21765.565212279704,6711.978749050602,2021,,1080p,LCD,,,,
laptop,HP,6776481,34262.85882160262,4405.697596817474,2022,,,LED,,32GB,64GB,
audifonos,Bose,959401,29811.446088813605,374.28938100413467,2012,,,,NFC,,,
smart watch,Samsung,947059,11147.775871666365,159.40613458858675,2018,3743.0,,LCD,NFC,,,
televisores,LG,5768552,45561.888961676996,169700.45167296467,2013,,1080p,,,,,
mouse,Razer,968898,36970.92274847954,379.05576855890047,2006,,,,,,,
audifonos,Sennheiser,5835862,10209.298523547632,422.3181452759497,2006,,,,4G,,,
celular,Huawei,4305181,498.9486825118023,441.9534016521543,2019,,,,Bluetooth,4GB,1TB,IP68
audifonos,Beats,9152799,6562.001150886143,228.30878302101604,2014,,,,4G,,,
lavadora,LG,6111088,27328.028746488962,128659.71147593918,2018,,,,,,,
cargador,Belkin,3139008,14440.28626915487,155.17214119948974,2002,,,,,,,
camara,Canon,9114647,35696.88797305289,2898.7319790960046,2018,,,,,,,
parlante,Sony,8417233,23602.061309497225,2025.9165131317673,2015,,,,WiFi,,,
celular,Huawei,7140814,38202.06763900986,231.84595581146922,2008,,,,WiFi,16GB,,None
cpu,AMD,1950477,45205.55251998067,11586.731822377793,2010,,,,,,,
tablet,Apple,202544,43632.57016775134,522.7583728463821,2012,,,OLED,5G,,,
televisores,TCL,7054565,30899.476330550482,90690.4572992766,2016,,,LCD,,,,
teclado,Logitech,5750673,10364.961801534702,1076.8094518984662,2018,,,,,,,
mouse,HP,4327600,28877.673100908414,239.22616653012878,2014,,,,,,,
monitor,LG,1664816,14142.319476699558,19361.28657170225,2010,,4K,OLED,,,,
secadora,Whirlpool,5747279,40000.69097497995,108965.29988333143,2003,,,,,,,
cpu,AMD,7960221,16412.17457534101,19839.126599148214,2010,,,,,,,
monitor,HP,7393505,28127.36009538554,11968.579084933932,2008,,,LED,,,,
teclado,Microsoft,878391,22066.511954192993,955.6090010467776,2009,,,,,,,
teclado,Corsair,5887965,9583.696052308387,921.7170158939276,2011,,,,,,,
tablet,Samsung,364862,28937.787503999614,503.6602993668677,2009,5535.0,,,4G,,,
nevera,Whirlpool,3862219,25236.323694271614,208545.6664696937,2016,,,,,,,
camara,Canon,7188526,9368.888348907783,2871.425271444508,2017,,4K,,,,,
cargador,Anker,3644641,2285.432820407454,84.13489822797891,2007,,,,,,,
tablet,Amazon,1485701,39652.32701634246,270.98030368191127,2006,,,LCD,NFC,4GB,,
smart watch,Samsung,8795254,20746.216717554256,64.18328674029921,2007,5910.0,,LCD,WiFi,,,None
camara,Panasonic,9172695,38604.48284786185,3171.4426831637925,2000,,,,,,,
televisores,LG,1126142,18564.24644666092,53605.94755402207,2001,,8K,,,,,
audifonos,Sony,5710585,43013.34422461764,481.7363122654553,2004,,,,4G,,,
lavadora,LG,4793318,2885.060929065843,140625.09213262313,2022,,,,,,,
nevera,Whirlpool,8419332,1860.8511586403604,217817.8695785096,2020,,,,,,,
celular,Xiaomi,6825387,38792.46263598519,164.35903900951976,2009,,,,NFC,,256GB,None
cpu,IBM,3506808,30710.242609908073,15191.314787365736,2001,,,,,,,
lavadora,LG,750686,26947.863799862338,127419.28038970991,2012,,,,,,,
tablet,Samsung,5942890,9121.705179481107,564.9855552562602,2003,1311.0,,LCD,Bluetooth,4GB,128GB,
teclado,Logitech,7054751,37040.83730540838,976.6544722960125,2010,,,,,,,
smart watch,Apple,3498261,11858.160848601856,181.1464058216656,2020,,,LED,WiFi,,,
smart watch,Apple,8835439,33383.95608916231,78.889769944938,2009,8824.0,,,4G,,,IP68
tablet,Apple,8003285,24024.684888548407,289.2878999214982,2022,7597.0,,OLED,WiFi,,64GB,
tablet,Amazon,4387343,46001.43539101815,379.2241932056753,2006,,,,WiFi,,1TB,
monitor,Dell,7907353,27313.495529427124,6987.428558297121,2008,,,LED,,,,
laptop,Apple,2663331,27048.940504690825,5459.666738443391,2018,,,LED,4G,,512GB,
parlante,JBL,2341225,49486.77548254871,2717.986463042144,2008,,,,4G,,,
tablet,Huawei,1133399,20797.167628528307,415.3696910531378,2017,6191.0,,,5G,8GB,,
laptop,Lenovo,6829621,9445.949639478426,4237.045862195097,2014,2266.0,,LCD,WiFi,,,
laptop,Dell,1046940,25315.776642701363,6121.681224305645,2010,,,LED,NFC,4GB,256GB,
lavadora,Whirlpool,8349761,8996.57968069786,146689.23239360185,2011,,,,,,,
laptop,Apple,7512445,35518.890680048775,5174.614901931671,2023,,,,NFC,16GB,256GB,
cpu,Intel,8301469,39521.156040757356,8200.380201305692,2016,,,,,,,
nevera,GE,4073205,15592.478492311357,224652.77402817967,2018,,,,,,,
teclado,Razer,2471815,15930.375175375795,1455.297773386199,2009,,,,,,,
mouse,Logitech,5927348,36057.9645098994,165.4373867461153,2022,,,,,,,
audifonos,Sony,1660911,3911.2825218574367,411.69047992940625,2015,,,,4G,,,
mouse,Microsoft,9502531,10391.823585590504,175.75126936036395,2012,,,,,,,
monitor,LG,7026920,49138.511364578684,13442.830464591549,2004,,8K,OLED,,,,
secadora,Samsung,4477894,29145.88883469706,118474.11199118526,2009,,,,,,,
televisores,TCL,6174956,8959.833958488147,117782.86684469703,2011,,,LED,,,,
audifonos,Bose,3025717,44863.12683183136,67.4873041532287,2020,,,,,,,
smart watch,Samsung,2108535,13431.542174246693,102.35547665563473,2018,,,LED,5G,,,IP68
monitor,Dell,5087679,9921.428837282365,12720.600498104366,2002,,1080p,OLED,,,,
secadora,Whirlpool,4642022,4438.174324262773,139049.42733858622,2020,,,,,,,
televisores,Samsung,630836,18974.323382007813,98138.93577120395,2022,,4K,OLED,,,,
nevera,Samsung,3051909,38888.354613070405,273791.55364456406,2006,,,,,,,
audifonos,Sennheiser,9197269,38362.14073374267,205.04328197118423,2021,,,,NFC,,,
monitor,HP,2527245,38784.914665765515,8580.235232604868,2007,,4K,OLED,,,,
audifonos,Sony,4663637,42111.4338032862,362.71963420630215,2005,,,,,,,
parlante,LG,4140164,44129.54929587401,3831.5626579782383,2009,,,,4G,,,
tablet,Amazon,4955946,4625.769125644003,427.41058722132846,2004,3126.0,,,Bluetooth,4GB,128GB,
televisores,Sony,506709,1285.5970814287657,135183.55644097266,2020,,4K,OLED,,,,
smart watch,Garmin,1162570,27543.283463115946,178.02478680988114,2002,,,LED,NFC,,,IP68
camara,Canon,454703,41324.61752531139,1232.132289574749,2008,,4K,,,,,
parlante,Sony,483895,38404.256309235214,3945.865594545564,2022,,,,5G,,,
lavadora,Samsung,483706,26625.893000450298,106536.36807952342,2021,,,,,,,
teclado,Microsoft,1599753,45430.31881133547,606.4423689595412,2013,,,,,,,
